13 Rows Southern Valleys Pinot Noir,Pinot Noir,$29.95 NZD,2012,13 Rows,4,,,,,,,,,,,,,,,,,,,,,,,,,,1
13 Rows Sauvignon Blanc,Sauvignon Blanc,$23.50 NZD,2013,13 Rows,4,,,,,,,,,,,,,,,,,,,,,,,,,,2
3 Stones Sauvignon Blanc,Sauvignon Blanc, ,2005,3 Stones,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
3 Stones Sauvignon Blanc,Sauvignon Blanc,$20 NZD,2009,3 Stones,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,4
3 Stones Sauvignon Blanc,Sauvignon Blanc,$19.95 NZD,2012,3 Stones,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,5
3 Stones Sauvignon Blanc,Sauvignon Blanc,$18.99 NZD,2013,3 Stones,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,6
3 Stones Sauvignon Blanc,Sauvignon Blanc,$13.99 NZD,2014,3 Stones,3,,,,,,,,,,,,,,,,,,,,,,,,,,7
3 Tales Sauvignon Blanc,Sauvignon Blanc,$21.99 NZD,2008,3 Tales,4,,,,,,,,,,,,,,,,,,,,,,,,,,8
900 Grapes Sauvignon Blanc,Sauvignon Blanc,$26.99 NZD,2012,900 Grapes,4,,,,,,,,,,,,,,,,,,,,,,,,,,9
Akarua Marlborough Sauvignon Blanc,Sauvignon Blanc,$15.40 NZD,2007,Akarua,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,10
Akarua Marlborough Sauvignon Blanc,Sauvignon Blanc,$15.40 NZD,2008,Akarua,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,11
Allan Scott Wines Estate Pinot Noir,Pinot Noir, ,2003,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,12
Allan Scott Wines Prestige Pinot Noir,Pinot Noir,$43.90 NZD,2003,Allan Scott family Winemakers,3,,,,,,,,,,,,,,,,,,,,,,,,,,13
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$26 NZD,2004,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,14
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$18 NZD,2004,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,15
Allan Scott Wines Pinot Noir Rosé,Pinot Noir, ,2004,Allan Scott family Winemakers,3,,,,,,,,,,,,,,,,,,,,,,,,,,16
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$24.95 NZD,2005,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,17
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$20 NZD,2005,Allan Scott family Winemakers,3,,,,,,,,,,,,,,,,,,,,,,,,,,18
Allan Scott Wines Pinot Noir Rosé,Pinot Noir,$18 NZD,2005,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,19
Allan Scott Wines Pinot Noir Rosé,Pinot Noir,$17 NZD,2006,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,20
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$25 NZD,2006,Allan Scott family Winemakers,3,,,,,,,,,,,,,,,,,,,,,,,,,,21
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$19.50 NZD,2007,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,22
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$25.50 NZD,2007,Allan Scott family Winemakers,3,,,,,,,,,,,,,,,,,,,,,,,,,,23
Allan Scott Wines Millstone Sauvignon Blanc,Sauvignon Blanc,$29 NZD,2008,Allan Scott family Winemakers,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,24
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$26 NZD,2008,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,25
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$17.50 NZD,2008,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,26
Allan Scott Wines Late Harvest Sauvignon Blanc,Sauvignon Blanc,$25 NZD,2009,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,27
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$26 NZD,2009,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,28
Allan Scott Wines The Hounds Pinot Noir,Pinot Noir,$35 NZD,2009,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,29
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$19.99 NZD,2009,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,30
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$26 NZD,2010,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,31
Allan Scott Wines The Hounds Pinot Noir,Pinot Noir,$36 NZD,2010,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,32
Allan Scott Wines The Hounds Pinot Noir,Pinot Noir,$31 NZD,2011,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,33
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$26 NZD,2011,Allan Scott family Winemakers,3,,,,,,,,,,,,,,,,,,,,,,,,,,34
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$21.90 NZD,2011,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,35
Allan Scott Wines Pinot Noir Rosé,Pinot Noir,$18 NZD,2013,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,36
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$18 NZD,2013,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,37
Allan Scott Wines Estate Pinot Noir,Pinot Noir,$26 NZD,2014,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,38
Allan Scott Generations Pinot Noir,Pinot Noir,$36 NZD,2015,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,39
Allan Scott Generations Sauvignon Blanc,Sauvignon Blanc,$26 NZD,2015,Allan Scott family Winemakers,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,40
Allan Scott Generations Pinot Noir,Pinot Noir,$36 NZD,2016,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,41
Allan Scott Wines Pinot Noir Rosé,Pinot Noir,$18 NZD,2016,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,42
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$18 NZD,2016,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,43
Allan Scott Generations Sauvignon Blanc,Sauvignon Blanc,$26 NZD,2017,Allan Scott family Winemakers,4,,,,,,,,,,,,,,,,,,,,,,,,,,44
Allan Scott Wines Estate Sauvignon Blanc,Sauvignon Blanc,$18 NZD,2017,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,45
Allan Scott Wines Pinot Noir Rosé,Pinot Noir,$18 NZD,2017,Allan Scott family Winemakers,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,46
Allan Scott Wines Pinot Noir Rosé,Pinot Noir,$18 NZD,2018,Allan Scott family Winemakers,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,47
Alluviale Sauvignon Blanc,Sauvignon Blanc,$19.95 NZD,2016,Alluviale,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,48
Alpha Domus Marlborough Sauvignon Blanc,Sauvignon Blanc,$18.95 NZD,2018,Alpha Domus,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,49
Anchorage Wines Winemakers Selection Sauvignon Blanc,Sauvignon Blanc,$17.50 NZD,2005,Anchorage Wines,4,,,,,,,,,,,,,,,,,,,,,,,,,,50
Ant Moore Pinot Noir,Pinot Noir,$32.95 NZD,2008,Ant Moore,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,51
Ant Moore Pinot Noir,Pinot Noir,$32 NZD,2009,Ant Moore,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,52
Ant Moore Signature Series Sauvignon Blanc,Sauvignon Blanc,$22.99 NZD,2014,Ant Moore,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,53
Artisan Valley East Estate Sauvignon Blanc,Sauvignon Blanc,$18 NZD,2003,Artisan,3,,,,,,,,,,,,,,,,,,,,,,,,,,54
Artisan Sauvignon Blanc,Sauvignon Blanc,$19.99 NZD,2008,Artisan,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,55
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc, ,2002,Astrolabe Wines,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,56
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc, ,2003,Astrolabe Wines,4,,,,,,,,,,,,,,,,,,,,,,,,,,57
Astrolabe Young Vine Pinot Noir,Pinot Noir,$24.95 NZD,2003,Astrolabe Wines,4,,,,,,,,,,,,,,,,,,,,,,,,,,58
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc,$17.95 NZD,2004,Astrolabe Wines,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,59
Astrolabe Province Pinot Noir,Pinot Noir,$26.95 NZD,2004,Astrolabe Wines,3,,,,,,,,,,,,,,,,,,,,,,,,,,60
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc,$19.95 NZD,2005,Astrolabe Wines,4,,,,,,,,,,,,,,,,,,,,,,,,,,61
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc,$19.95 NZD,2006,Astrolabe Wines,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,62
Astrolabe Valleys Awatere Valley Sauvignon Blanc,Sauvignon Blanc,$22.95 NZD,2007,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,63
Astrolabe Valleys Kekerengu Coast Sauvignon Blanc,Sauvignon Blanc, ,2007,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,64
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc,$20.95 NZD,2007,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,65
Astrolabe Province Pinot Noir,Pinot Noir,$26.92 NZD,2007,Astrolabe Wines,4,,,,,,,,,,,,,,,,,,,,,,,,,,66
Astrolabe Valleys Awatere Valley Sauvignon Blanc,Sauvignon Blanc,$22.95 NZD,2008,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,67
Astrolabe Valleys Kekerengu Coast Sauvignon Blanc,Sauvignon Blanc,$25.95 NZD,2008,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,68
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc,$19.95 NZD,2008,Astrolabe Wines,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,69
Durvillea Marlborough Sauvignon Blanc,Sauvignon Blanc,$14.95 NZD,2008,Astrolabe Wines,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,70
Astrolabe Province Pinot Noir,Pinot Noir,$29.95 NZD,2008,Astrolabe Wines,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,71
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc,$19.95 NZD,2009,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,72
Astrolabe Vineyards Taihoa Vineyard Sauvignon Blanc,Sauvignon Blanc,$34.99 NZD,2009,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,73
Astrolabe Valleys Awatere Valley Sauvignon Blanc,Sauvignon Blanc,$23.95 NZD,2009,Astrolabe Wines,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,74
Durvillea Marlborough Sauvignon Blanc,Sauvignon Blanc,$20 NZD,2009,Astrolabe Wines,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,75
Durvillea Pinot Noir,Pinot Noir,$18 NZD,2009,Astrolabe Wines,3,,,,,,,,,,,,,,,,,,,,,,,,,,76
Astrolabe Valleys Awatere Valley Sauvignon Blanc,Sauvignon Blanc,$23.99 NZD,2010,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,77
Astrolabe Province Sauvignon Blanc,Sauvignon Blanc,$20.99 NZD,2010,Astrolabe Wines,5,,,,,,,,,,,,,,,,,,,,,,,,,,78
